id,name,pdf_url
61616159,لمحات من حياتي: سيرة شبه ذاتية,https://www.hindawi.org/books/61616159.pdf
42071582,هالو,https://www.hindawi.org/books/42071582.pdf
37591482,برتراند رسل,https://www.hindawi.org/books/37591482.pdf
60292585,حضارة العرب في الأندلس: رسائل تاريخية في قالب خيالي بديع,https://www.hindawi.org/books/60292585.pdf
57316482,عجلة الحظ,https://www.hindawi.org/books/57316482.pdf
83020303,عصر الازدهار: تاريخ الأمة العربية (الجزء الخامس),https://www.hindawi.org/books/83020303.pdf
95020529,دراسات فلسفية (الجزء الثاني): في الفلسفة الغربية الحديثة والمعاصرة,https://www.hindawi.org/books/95020529.pdf
46494205,بلا قيود: تقنيات حرَّرت البشر ودفعتهم لحافة الهاوية,https://www.hindawi.org/books/46494205.pdf
61827135,عصر الاتساق: تاريخ الأمة العربية (الجزء الرابع),https://www.hindawi.org/books/61827135.pdf
96415063,كوخ العم توم,https://www.hindawi.org/books/96415063.pdf
64037085,قشور ولباب,https://www.hindawi.org/books/64037085.pdf
51515374,هدنة لالتقاط الأنفاس,https://www.hindawi.org/books/51515374.pdf
74068624,دراسات فلسفية (الجزء الأول): في الفكر الإسلامي المعاصر,https://www.hindawi.org/books/74068624.pdf
97381570,طائر في العنق,https://www.hindawi.org/books/97381570.pdf
30713151,تشارلز داروين: حياته وخطاباته (الجزء الأول): مع فصل سيرة ذاتية بقلم تشارلز داروين,https://www.hindawi.org/books/30713151.pdf
29620591,عصر الخلفاء الراشدين: تاريخ الأمة العربية (الجزء الثالث),https://www.hindawi.org/books/29620591.pdf
62491593,لغة الجرائد,https://www.hindawi.org/books/62491593.pdf
40914027,المَلامَتيَّة والصُّوفيَّة وأهل الفُتُوَّة,https://www.hindawi.org/books/40914027.pdf
63024192,رحلات الصحافي العجوز: شهران في لبنان وبلاد اليونان وإيطاليا وطرابلس الغرب صيف سنة ١٩٣٨,https://www.hindawi.org/books/63024192.pdf
37027416,حكايات هانس أندرسن الخيالية: المجموعة الأولى,https://www.hindawi.org/books/37027416.pdf
16963646,قصة الاحتلال,https://www.hindawi.org/books/16963646.pdf
13603829,المسألة السودانية,https://www.hindawi.org/books/13603829.pdf
25073173,نساء العالم كما رأيتهن,https://www.hindawi.org/books/25073173.pdf
97468385,اجتياز القرن الحادي والعشرين: أخطر عشرة تحديات تواجه البشرية وكيف يمكن التغلب عليها,https://www.hindawi.org/books/97468385.pdf
60208147,فلسفة التاريخ,https://www.hindawi.org/books/60208147.pdf
36384826,الانتهازيون لا يدخلون الجنة: مسرحيات مختارة,https://www.hindawi.org/books/36384826.pdf
27518393,الزعيم الثائر أحمد عرابي,https://www.hindawi.org/books/27518393.pdf
62705804,ديفيد كوبرفيلد: أعدَّتها للأطفال أليس إف جاكسون,https://www.hindawi.org/books/62705804.pdf
27359037,الكتاب السنوي في علم النفس,https://www.hindawi.org/books/27359037.pdf
64614613,ابن عمار,https://www.hindawi.org/books/64614613.pdf
30314251,نقد الاقتصاد السياسي,https://www.hindawi.org/books/30314251.pdf
81709058,خيوط السماء,https://www.hindawi.org/books/81709058.pdf
27397268,الحيتان,https://www.hindawi.org/books/27397268.pdf
47297974,رأي في أبي العلاء: الرجل الذي وجد نفسه,https://www.hindawi.org/books/47297974.pdf
72957419,هو الذي طغى: محاكمة جلجاميش: في عشر لوحات درامية,https://www.hindawi.org/books/72957419.pdf
75319471,المرأة والغربة,https://www.hindawi.org/books/75319471.pdf
93681649,شهيرات النساء في العالم الإسلامي,https://www.hindawi.org/books/93681649.pdf
26386930,مفهوم المنهج العلمي,https://www.hindawi.org/books/26386930.pdf
70427368,عصر الانطلاق: تاريخ الأمة العربية (الجزء الثاني),https://www.hindawi.org/books/70427368.pdf
73626284,قصة الخلق: منابع سفر التكوين,https://www.hindawi.org/books/73626284.pdf
26257953,الطلسم,https://www.hindawi.org/books/26257953.pdf
85927947,ليالي الروح الحائر,https://www.hindawi.org/books/85927947.pdf
15250496,من حولنا,https://www.hindawi.org/books/15250496.pdf
52758494,مسرح توفيق الحكيم,https://www.hindawi.org/books/52758494.pdf
61485748,ما وراء البحار,https://www.hindawi.org/books/61485748.pdf
14136905,نباتات الزينة العشبية,https://www.hindawi.org/books/14136905.pdf
58031462,العتب على النظر,https://www.hindawi.org/books/58031462.pdf
95060585,حين يميل الميزان,https://www.hindawi.org/books/95060585.pdf
73516847,برلين: مدن العالم الكبرى,https://www.hindawi.org/books/73516847.pdf
93647297,أمواج ولا شاطئ,https://www.hindawi.org/books/93647297.pdf
39040372,اللغة والدين والتقاليد في حياة الاستقلال,https://www.hindawi.org/books/39040372.pdf
83863050,عصر الانبثاق: تاريخ الأمة العربية (الجزء الأول),https://www.hindawi.org/books/83863050.pdf
85849530,طعام الآلهة وكيف جاء إلى الأرض,https://www.hindawi.org/books/85849530.pdf
64927073,خيوط واهية,https://www.hindawi.org/books/64927073.pdf
27572917,الإيدز العربي,https://www.hindawi.org/books/27572917.pdf
86253537,التصوف: الثورة الروحية في الإسلام,https://www.hindawi.org/books/86253537.pdf
60595135,ظواهر نفسية وجنسية,https://www.hindawi.org/books/60595135.pdf
75318536,تاريخ الصيدلة: مجموعة محاضرات ألقاها في جمعية الصيدلة المصرية صابر جبرة,https://www.hindawi.org/books/75318536.pdf
49164181,الأسطورة والتراث,https://www.hindawi.org/books/49164181.pdf
41418604,غاوية القرية: فضيحة الأب براون (٥١),https://www.hindawi.org/books/41418604.pdf
50816850,فيينا ٦٠,https://www.hindawi.org/books/50816850.pdf
24204602,مشكلة لا حل لها: فضيحة الأب براون (٥٠),https://www.hindawi.org/books/24204602.pdf
94737393,ديوان أبي فراس الحمداني,https://www.hindawi.org/books/94737393.pdf
57949396,امرأة تحدق في الشمس,https://www.hindawi.org/books/57949396.pdf
49205204,السباحة في الرمال,https://www.hindawi.org/books/49205204.pdf
63514719,سن الدبوس: فضيحة الأب براون (٤٩),https://www.hindawi.org/books/63514719.pdf
53957515,جنات وإبليس,https://www.hindawi.org/books/53957515.pdf
30961350,الأيام الخضراء,https://www.hindawi.org/books/30961350.pdf
59425818,١١٧٧ق.م.: عام انهيار الحضارة,https://www.hindawi.org/books/59425818.pdf
91397502,عقلي وعقلك,https://www.hindawi.org/books/91397502.pdf
58180618,في الأدب والحياة,https://www.hindawi.org/books/58180618.pdf
96809026,شوقي: صداقة أربعين سنة,https://www.hindawi.org/books/96809026.pdf
53138281,جريمة الشيوعي: فضيحة الأب براون (٤٨),https://www.hindawi.org/books/53138281.pdf
30848590,بسائط علم الفلك وصور السماء,https://www.hindawi.org/books/30848590.pdf
47258072,مطاردة السيد أزرق: فضيحة الأب براون (٤٧),https://www.hindawi.org/books/47258072.pdf
86205862,ابن سينا الفيلسوف: بعد تسعمئة سنة على وفاته,https://www.hindawi.org/books/86205862.pdf
48157094,أبناء البشر,https://www.hindawi.org/books/48157094.pdf
86942829,سلوك الحيوان,https://www.hindawi.org/books/86942829.pdf
19585957,الرجل الأخضر: فضيحة الأب براون (٤٦),https://www.hindawi.org/books/19585957.pdf
29046147,مباحث علمية واجتماعية,https://www.hindawi.org/books/29046147.pdf
39408425,عَصْفَة الكتاب: فضيحة الأب براون (٤٥),https://www.hindawi.org/books/39408425.pdf
47908694,المذكرات الجغرافية في الأقطار السورية,https://www.hindawi.org/books/47908694.pdf
86816972,السريع: فضيحة الأب براون (٤٤),https://www.hindawi.org/books/86816972.pdf
84752642,مصر والشام في الغابر والحاضر,https://www.hindawi.org/books/84752642.pdf
50404926,النكبات: خلاصة تاريخ سورية منذ العهد الأول بعد الطوفان إلى عهد الجمهورية بلبنان,https://www.hindawi.org/books/50404926.pdf
82717191,فضيحة الأب براون: فضيحة الأب براون (٤٣),https://www.hindawi.org/books/82717191.pdf
35096397,رسالة في الكتابة العربية المنقحة,https://www.hindawi.org/books/35096397.pdf
31717369,أطفال السكة الحديدية,https://www.hindawi.org/books/31717369.pdf
60907516,ذكريات بعيدة,https://www.hindawi.org/books/60907516.pdf
60472797,سر فلامبو: سر الأب براون (٤٢),https://www.hindawi.org/books/60472797.pdf
52868595,الحرب والسلم (الكتاب الثاني): إلياذة العصور الحديثة,https://www.hindawi.org/books/52868595.pdf
48186172,مكلوم مارن: سر الأب براون (٤١),https://www.hindawi.org/books/48186172.pdf
48649370,فلسفة كارل بوبر: منهج العلم … منطق العلم,https://www.hindawi.org/books/48649370.pdf
41807926,قمر ميرو الأحمر: سر الأب براون (٤٠),https://www.hindawi.org/books/41807926.pdf
85927131,رحلات الفضاء: تاريخ موجز,https://www.hindawi.org/books/85927131.pdf
52602647,السابق,https://www.hindawi.org/books/52602647.pdf
31470309,أبشع جريمة في الدنيا : سر الأب براون (٣٩),https://www.hindawi.org/books/31470309.pdf
68024613,الوعاء المرمري,https://www.hindawi.org/books/68024613.pdf
53742042,الطاعون القرمزي,https://www.hindawi.org/books/53742042.pdf
14046425,قصة الفلسفة الحديثة,https://www.hindawi.org/books/14046425.pdf
